_id,flags,type,text,img,resultId,weight,range,drawn
24,dya9mbk2kIKIUsgE,{},0,"Hlammach, Impiltur",icons/svg/d20-black.svg,,1,"[25, 25]",False
25,HhXbZpXt6swR0rtd,{},0,"Dilpur, The Easting Reach",icons/svg/d20-black.svg,,1,"[26, 26]",False
26,8fsCaTk90d6hVmBX,{},0,"Sarshel, The Easting Reach",icons/svg/d20-black.svg,,1,"[27, 27]",False
27,mPjKNReV7Biilhdv,{},0,"Ilmwatch, The Easting Reach",icons/svg/d20-black.svg,,1,"[28, 28]",False
28,DScs6UcBM672U8rm,{},0,"Uthmere, The Easting Reach",icons/svg/d20-black.svg,,1,"[29, 29]",False
29,N3Ts9EyOm3lWqifr,{},0,"Nyth, The Easting Reach",icons/svg/d20-black.svg,,1,"[30, 30]",False
30,nRlAoFZoB8Nx86ZG,{},0,"Telflamm, The Easting Reach",icons/svg/d20-black.svg,,1,"[31, 31]",False
31,cMe5HRAC3Tdae5PI,{},0,"Emmech, Aglarond",icons/svg/d20-black.svg,,1,"[32, 32]",False
32,sn41cyyy4bEquK6c,{},0,"Furthinghome, Aglarond",icons/svg/d20-black.svg,,1,"[33, 33]",False
33,o339ZYQ7WcPYnjTh,{},0,"Velprintalar, Aglarond",icons/svg/d20-black.svg,,1,"[34, 34]",False
34,tfLsjxyCE2RtYHsP,{},0,"Spandeliyon, Altumbel",icons/svg/d20-black.svg,,1,"[35, 35]",False
35,g8oxR2J10yKudK3t,{},0,"Urbryr, Altumbel",icons/svg/d20-black.svg,,1,"[36, 36]",False
36,W2ty8VE1Omi8CA4f,{},0,"Delthuntle, Altumbel",icons/svg/d20-black.svg,,1,"[37, 37]",False
37,IDAQjlyfWqxerLkb,{},0,"Laothkund, Aglarond",icons/svg/d20-black.svg,,1,"[38, 38]",False
38,vSaYHUUdN7An60rh,{},0,"Excalant, Aglarond",icons/svg/d20-black.svg,,1,"[39, 39]",False
39,6wbJUUyRDEx2sMyh,{},0,"Bezantur, Alamber Sea",icons/svg/d20-black.svg,,1,"[40, 40]",False
40,UOPbf0G1wEOChLEK,{},0,"Sultim, Alamber Sea",icons/svg/d20-black.svg,,1,"[41, 41]",False
41,rdyPlXUOvvA4A7fb,{},0,"Skuld, Alamber Sea",icons/svg/d20-black.svg,,1,"[42, 42]",False
42,2U0l5MGZIofwCwva,{},0,"Nelderild, Alamber Sea",icons/svg/d20-black.svg,,1,"[43, 43]",False
43,45DkoPgY6QGS41O6,{},0,"Gheldaneth, Alamber Sea",icons/svg/d20-black.svg,,1,"[44, 44]",False
44,SVeEVyGTagEPrA1H,{},0,"Unthalass, Alamber Sea",icons/svg/d20-black.svg,,1,"[45, 45]",False
45,TEyNtB1y6YrzogAz,{},0,"Shussel, Alamber Sea",icons/svg/d20-black.svg,,1,"[46, 46]",False
46,PU17IOUEjOJDw3ZL,{},0,"Messemprar, Alamber Sea",icons/svg/d20-black.svg,,1,"[47, 47]",False
47,Zfv2FE69ZezFsDqU,{},0,"Mordulkin, Bay of Chessenta",icons/svg/d20-black.svg,,1,"[48, 48]",False
48,UZO38SYnkBfEUst5,{},0,"Luthcheq, Bay of Chessenta",icons/svg/d20-black.svg,,1,"[49, 49]",False
49,eWSo7GSFfUt8NB6R,{},0,"Soonenar, Bay of Chessenta",icons/svg/d20-black.svg,,1,"[50, 50]",False
50,PicXsHHtoevqF6iV,{},0,"Cimbar, Bay of Chessenta",icons/svg/d20-black.svg,,1,"[51, 51]",False
51,lLvsATiIk4uBgO37,{},0,"Airspur, Akana Peaks",icons/svg/d20-black.svg,,1,"[52, 52]",False
52,IJA53rKFlfrdgMXt,{},0,"Reth, Akana Peaks",icons/svg/d20-black.svg,,1,"[53, 53]",False
53,cPWKKFKrx778L814,{},0,"Sapra, Ilighon",icons/svg/d20-black.svg,,1,"[54, 54]",False
54,F4XDt3Vps8Z7aHjU,{},0,"Hlath, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[55, 55]",False
55,MjF64EkbBNnvxLZQ,{},0,"Samra, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[56, 56]",False
56,VeWFVsGtOX1NcGb8,{},0,"Iljak, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[57, 57]",False
57,BYNYPaMTBJunMVOQ,{},0,"Mossum, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[58, 58]",False
58,MJZqyZHNoQmwLvgH,{},0,"Arrabar, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[59, 59]",False
59,y5fZH34egwgpwOYB,{},0,"Mimph, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[60, 60]",False
60,prTRXAXJRPPlvHwg,{},0,"Nimpeth, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[61, 61]",False
61,h825UYIJuTVVvFaT,{},0,"Holdeth, The Vilhon Reach",icons/svg/d20-black.svg,,1,"[62, 62]",False
62,GAitJ4KLm6QlriVQ,{},0,"Alaghon, Turmish",icons/svg/d20-black.svg,,1,"[63, 63]",False
63,B3U7rngyzzCyXsUN,{},0,"Moringstar Hollows, Turmish",icons/svg/d20-black.svg,,1,"[64, 64]",False
64,UEZmlgX1iYCJyfpB,{},0,"Cedarspoke, Gulthmere Forest",icons/svg/d20-black.svg,,1,"[65, 65]",False
65,r4tIwmIGEhuPaSxS,{},0,"Starmantle, Gulthmere Forest",icons/svg/d20-black.svg,,1,"[66, 66]",False
66,1vIjdab3XqHMrFel,{},0,"Westgate, The Dragonmere",icons/svg/d20-black.svg,,1,"[67, 67]",False
67,2OOshBBZicJCZYeX,{},0,"Teziir, The Dragonmere",icons/svg/d20-black.svg,,1,"[68, 68]",False
68,WGiK0nC6sfcyjTZp,{},0,"Pros, The Dragonmere",icons/svg/d20-black.svg,,1,"[69, 69]",False
69,zIOdZsFSpDj0Pgbg,{},0,"Ilipur, The Dragonmere",icons/svg/d20-black.svg,,1,"[70, 70]",False
